Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
s_l3_na_per,Spherical distance level 3,Occlusion,Raw,Percent of non-ground points occluded in strata,Percent of non-ground points occluded in strata level 2 from origin,,,,,,,,,,1
s_l3_zero_per,Spherical distance level 3,Occlusion,Raw,Percent of unreturned non-ground points (true empty space) in strata,Percent of unreturned non-ground points (true empty space) in strata level 3 from origin,,,,,,,,,,1
s_l3_prop_mn,Spherical distance level 3,Occlusion,Raw,Mean proportion of occluded and no returns in strata,Mean proportion of occluded and no returns in strata level 3 from origin,,,,,,,,,,1
s_l3_prop_sd,Spherical distance level 3,Occlusion,Raw,Standard deviation of proportion of occluded and no returns in strata,Standard deviation of proportion of occluded and no returns in strata level 3 from origin,,,,,,,,,,1
s_l3_prop_sk,Spherical distance level 3,Occlusion,Raw,Skewness of proportion of occluded and no returns in strata,Skewness of proportion of occluded and no returns in strata level 3 from origin,,,,,,,,,,1
s_l3_prop_ku,Spherical distance level 3,Occlusion,Raw,Kurtosis of proportion of occluded and no returns in strata,Kurtosis of proportion of occluded and no returns in strata level 3 from origin,,,,,,,,,,1
s_l4_na_per,Spherical distance level 4,Occlusion,Raw,Percent of non-ground points occluded in strata ,Percent of non-ground points occluded in strata  level 4 from origin,,,,,,,,,,1
s_l4_zero_per,Spherical distance level 4,Occlusion,Raw,Percent of unreturned non-ground points (true empty space) in strata,Percent of unreturned non-ground points (true empty space) in strata level 4 from origin,,,,,,,,,,1
s_l4_prop_mn,Spherical distance level 4,Occlusion,Raw,Mean proportion of occluded and no returns in strata,Mean proportion of occluded and no returns in strata level 4 from origin,,,,,,,,,,1
s_l4_prop_sd,Spherical distance level 4,Occlusion,Raw,Standard deviation of proportion of occluded and no returns in strata,Standard deviation of proportion of occluded and no returns in strata level 4 from origin,,,,,,,,,,1
s_l4_prop_sk,Spherical distance level 4,Occlusion,Raw,Skewness of proportion of occluded and no returns in strata,Skewness of proportion of occluded and no returns in strata level 4 from origin,,,,,,,,,,1
s_l4_prop_ku,Spherical distance level 4,Occlusion,Raw,Kurtosis of proportion of occluded and no returns in strata,Kurtosis of proportion of occluded and no returns in strata level 4 from origin,,,,,,,,,,1
s_l5_na_per,Spherical distance level 5,Occlusion,Raw,Percent of non-ground points occluded in strata ,Percent of non-ground points occluded in strata  level 5 from origin,,,,,,,,,,1
s_l5_zero_per,Spherical distance level 5,Occlusion,Raw,Percent of unreturned non-ground points (true empty space) in strata,Percent of unreturned non-ground points (true empty space) in strata level 5 from origin,,,,,,,,,,1
s_l5_prop_mn,Spherical distance level 5,Occlusion,Raw,Mean proportion of occluded and no returns in strata,Mean proportion of occluded and no returns in strata level 5 from origin,,,,,,,,,,1
s_l5_prop_sd,Spherical distance level 5,Occlusion,Raw,Standard deviation of proportion of occluded and no returns in strata,Standard deviation of proportion of occluded and no returns in strata level 5 from origin,,,,,,,,,,1
s_l5_prop_sk,Spherical distance level 5,Occlusion,Raw,Skewness of proportion of occluded and no returns in strata,Skewness of proportion of occluded and no returns in strata level 5 from origin,,,,,,,,,,1
s_l5_prop_ku,Spherical distance level 5,Occlusion,Raw,Kurtosis of proportion of occluded and no returns in strata,Kurtosis of proportion of occluded and no returns in strata level 5 from origin,,,,,,,,,,1
vox_l1_cnt,Entire voxelized point cloud,General,Voxelized,Mean height of voxelized point cloud,Number of TLS points in the entire voxelized point cloud,,,,,,,,,,1
vox_l1_mean,Entire voxelized point cloud,General,Voxelized,Mean height of voxelized point cloud,Mean height of TLS points in the entire voxelized point cloud,,,,,,,,,,1
vox_l1_median,Entire voxelized point cloud,General,Voxelized,Median height of voxelized point cloud,Median height of TLS points in the entire voxelized point cloud,,,,,,,,,,1
vox_l1_std,Entire voxelized point cloud,General,Voxelized,SD of heights in voxelized point cloud,Standard deviation of height of TLS points in the entire voxelized point cloud,,,,,,,,,,1
vox_l1_tgi,Entire voxelized point cloud,General,Voxelized,Triangular greenness index of points in voxelized point cloud,Triangular greenness index of TLS points in the entire voxelized point cloud,,,,,,,,,,1
vox_l1_vari,Entire voxelized point cloud,General,Voxelized,Visual atmospheric resistance index of points in voxelized point cloud,Visual atmospheric resistance index of TLS points in the entire voxelized point cloud,,,,,,,,,,1
vox_l1_skew,Entire voxelized point cloud,General,Voxelized,Skewness of heights in voxelized point cloud,Skewness of height of TLS points in the entire voxelized point cloud,,,,,,,,,,1
